,property_type,price,location,city,province_name,latitude,longitude,baths,purpose,bedrooms,date_added,agency,agent,Area_in_Marla
0,Flat,10000000,G-10,Islamabad,Islamabad Capital,33.67989,73.01264,2,For Sale,2,2019-02-04,Self,Self,4.0
1,Flat,6900000,E-11,Islamabad,Islamabad Capital,33.700993,72.971492,3,For Sale,3,2019-05-04,Self,Self,5.6
2,House,16500000,G-15,Islamabad,Islamabad Capital,33.631485999999995,72.926559,6,For Sale,5,2019-07-17,Self,Self,8.0
3,House,43500000,Bani Gala,Islamabad,Islamabad Capital,33.707572937012,73.15119934082,4,For Sale,4,2019-04-05,Self,Self,40.0
4,House,7000000,DHA Defence,Islamabad,Islamabad Capital,33.492591,73.301339,3,For Sale,3,2019-07-10,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,8.0
5,House,34500000,Ghauri Town,Islamabad,Islamabad Capital,33.623946999999994,73.126588,8,For Sale,8,2019-04-05,Self,Self,32.0
6,House,27000000,Korang Town,Islamabad,Islamabad Capital,33.579034,73.13959100000001,8,For Sale,8,2019-01-04,Self,Self,20.0
7,Flat,7800000,E-11,Islamabad,Islamabad Capital,33.698244,72.984238,2,For Sale,2,2019-05-05,Ettemad Enterprises,Balqiaz Marwat,6.2
8,House,50000000,DHA Defence,Islamabad,Islamabad Capital,33.540894,73.095732,7,For Sale,7,2018-10-19,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,20.0
9,Penthouse,40000000,F-11,Islamabad,Islamabad Capital,33.679210999999995,72.988787,5,For Sale,5,2019-06-27,Crown Associate,Abrar Ahmed,20.0
10,Flat,35000000,Diplomatic Enclave,Islamabad,Islamabad Capital,33.728873,73.119628,3,For Sale,3,2019-06-03,Al Sahar Estate,Zahid H. Usmani,7.1
11,Flat,48000000,Diplomatic Enclave,Islamabad,Islamabad Capital,33.728873,73.119628,2,For Sale,2,2019-02-04,Al Sahar Estate,Zahid H. Usmani,7.8
12,House,400000000,F-6,Islamabad,Islamabad Capital,33.731531596441,73.065696358681,0,For Sale,0,2019-07-04,Self,Self,90.0
13,Flat,13500000,DHA Defence,Islamabad,Islamabad Capital,33.538087,73.164536,5,For Sale,3,2019-06-04,Self,Self,10.0
14,Flat,3600000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,1,For Sale,1,2019-07-03,Ettemad Enterprises,Ettemad,3.1
15,Flat,5000000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,2,For Sale,2,2019-05-05,Ettemad Enterprises,Ettemad,4.0
16,House,19000000,DHA Defence,Islamabad,Islamabad Capital,33.508481,73.091826,3,For Sale,3,2019-06-20,Infinity Properties,Ali,10.0
17,House,80000000,DHA Defence,Islamabad,Islamabad Capital,33.541728000000006,73.094103,7,For Sale,7,2019-07-16,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,40.0
18,House,26900000,B-17,Islamabad,Islamabad Capital,33.694495,72.82665300000001,6,For Sale,6,2019-02-04,Self,Self,20.0
19,Flat,1750000,PWD Housing Scheme,Islamabad,Islamabad Capital,33.570792,73.145256,0,For Sale,0,2019-06-13,Paris Real Estate & Builders,Chaudhary Naveed,1.5
20,House,55000000,G-11,Islamabad,Islamabad Capital,33.671640000000004,72.99165500000001,7,For Sale,6,2019-07-17,Self,Self,14.0
21,House,4500000,Bhara kahu,Islamabad,Islamabad Capital,33.737402,73.179159,3,For Sale,3,2019-02-04,Self,Self,5.0
22,Farm House,88500000,Bani Gala,Islamabad,Islamabad Capital,33.713488,73.16268000000001,3,For Sale,3,2019-03-06,Self,Self,120.0
23,Flat,47000000,Diplomatic Enclave,Islamabad,Islamabad Capital,33.728873,73.119628,2,For Sale,3,2019-05-05,Al Sahar Estate,Zahid H. Usmani,8.4
24,House,4500000,Garden Town,Islamabad,Islamabad Capital,33.636132,73.11392099999999,4,For Sale,4,2019-01-05,Self,Self,4.7
25,House,6800000,Koral Town,Islamabad,Islamabad Capital,33.602038,73.141966,4,For Sale,4,2019-07-17,Self,Self,4.0
26,House,20000000,Soan Garden,Islamabad,Islamabad Capital,33.569648,73.151522,5,For Sale,6,2019-06-29,Self,Self,12.0
27,Flat,19400000,Blue Area,Islamabad,Islamabad Capital,33.713845,73.06097,1,For Sale,1,2019-06-27,Crown Associate,Abrar Ahmed,4.3
28,House,100000000,F-6,Islamabad,Islamabad Capital,33.72402,73.074524,5,For Sale,5,2019-01-05,Property Syendicate,Rizwan Shafqat,17.8
29,Flat,8000000,G-11,Islamabad,Islamabad Capital,33.675604,73.000367,2,For Sale,2,2019-05-05,Ettemad Enterprises,Balqiaz Marwat,6.7
30,Flat,6300000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,3,For Sale,3,2019-05-05,Ettemad Enterprises,Ettemad,5.3
31,House,220000000,F-7,Islamabad,Islamabad Capital,33.716274,73.05624,10,For Sale,10,2019-01-05,Property Syendicate,Rizwan Shafqat,42.0
32,House,4500000,Ghauri Town,Islamabad,Islamabad Capital,33.61855,73.135471,3,For Sale,2,2018-11-06,Self,Self,5.0
33,House,12500000,I-16,Islamabad,Islamabad Capital,33.594496,72.92659499999999,5,For Sale,6,2019-07-04,Self,Self,8.0
34,House,230000000,E-7,Islamabad,Islamabad Capital,33.727409,73.04758100000001,4,For Sale,4,2019-06-12,Zorje Pvt Ltd,Obaid Abbasi,50.0
35,House,110000,DHA Defence,Islamabad,Islamabad Capital,33.542039,73.093414,5,For Rent,5,2018-10-20,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,20.0
36,House,600000,F-7,Islamabad,Islamabad Capital,33.720413,73.056493,6,For Rent,6,2018-10-20,Nexus Estate Services,Ch Afzal/ Ch Faisal/ Ch Adeel,40.0
37,Lower Portion,33000,G-15,Islamabad,Islamabad Capital,33.633416,72.91821999999999,2,For Rent,2,2018-10-20,Self,Self,8.0
38,House,45000,Pakistan Town,Islamabad,Islamabad Capital,33.575405,73.143325,5,For Rent,3,2019-07-11,Self,Self,24.0
39,Upper Portion,12000,Bhara kahu,Islamabad,Islamabad Capital,33.737402,73.179159,2,For Rent,2,2019-02-04,Self,Self,5.0
40,House,175000,F-7,Islamabad,Islamabad Capital,33.720413,73.056493,4,For Rent,4,2019-06-04,Self,Self,13.3
41,Lower Portion,17000,Islamabad Expressway,Islamabad,Islamabad Capital,33.632166,73.11150699999999,2,For Rent,2,2019-02-04,Self,Self,5.0
42,House,1022000,F-6,Islamabad,Islamabad Capital,33.731334999999994,73.068473,8,For Rent,8,2019-07-04,Self,Self,40.0
